config_type,config_description,best_obstacle_density,final_exploration_rate,avg_increase_rate,max_increase_rate,min_increase_rate,total_steps,exploration_efficiency,time_to_0.1,time_to_0.2,time_to_0.3,time_to_0.4,time_to_0.5
A,VFH-Fuzzy only,0.0,0.45335,0.008806122448979591,0.031100000000000017,9.999999999998899e-05,50,0.009066999999999999,15,21,25,30,
B,Pre-trained model,0.0,0.6309,0.012301020408163265,0.03579999999999994,9.999999999998899e-05,50,0.012618,3,14,25,32,41.0
C,Branching/Integration,0.0,0.5941,0.011527551020408162,0.036000000000000004,0.0011499999999999844,50,0.011881999999999998,10,14,20,32,42.0
D,Branching/Integration + Learning,0.0,0.55815,0.010910204081632652,0.04235,0.0,50,0.011163000000000001,9,14,18,21,26.0
