Config_1,Config_2,Mean_1,Mean_2,Mean_Diff,T_statistic,P_value,Significant,Effect_Size
A,B,0.38907812499999994,0.202304090909091,0.18677403409090895,8.039010261282119,6.101851598539929e-13,True,1.243715565919527
A,C,0.38907812499999994,0.33918499999999996,0.04989312499999998,0.8885165631773825,0.3790947172118231,False,0.2659894070053831
A,D,0.38907812499999994,0.2710016666666667,0.11807645833333325,2.6455391016306793,0.011268090874206872,True,0.732379222956481
B,C,0.202304090909091,0.33918499999999996,-0.13688090909090897,-7.403228341597901,1.1882944447298937e-11,True,1.1036946864083845
B,D,0.202304090909091,0.2710016666666667,-0.06869757575757571,-5.149629047773788,8.82009279802363e-07,True,0.8732068889270085
C,D,0.33918499999999996,0.2710016666666667,0.06818333333333326,1.9248387231179112,0.0591588458077681,False,0.4969912212513879
